removed outliers,"Curated pr mixed (23 agent, 22 human created)",,,,,,Pure human,,,,,,Statistical analysis,,
Metric,min,Q1,Median,Mean,Q3,Max,min,Q1,Median,Mean,Q3,Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.00222222,0.264375,1.041666667,7.012820513,19.013125,225.8038889,0.00583333,3.613888889,15.27083333,30.8839039,68.52666667,1119.709167,0.00059449,0.428118393,Medium
time_to_close_days,9.26E-05,0.011015625,0.04340278,0.292200855,0.792213542,9.40849537,0.00024306,0.150578704,0.636284722,1.286829329,2.855277778,46.65454861,0.00059449,0.428118393,Medium
body_length,44,365,1249,1542.911111,2650,5011,76,450,969,1486.976744,2493,77965,0.961382953,0.00641975,Negligible
commits,1,1,3,3.720930233,6,20,1,2,4,4.951219512,9,333,0.121918685,0.187654321,Small
changed_files,1,2,3,4.56097561,10,183,1,2,5,7.75,13,255,0.06314947,0.226666667,Small
additions,0,15,42,53.84615385,97,881,0,22,87,198.15,467,55262,0.036952149,0.255802469,Small
deletions,0,29,47,53.92307692,90,2280,0,22,61,111.6486486,257,22544,0.142984996,0.179753086,Small
code_churn,4,56,96,113.2564103,207,3161,1,56,202,311.2105263,657,77806,0.02191312,0.280987654,Small
review_iterations,0,0,1,1.463414634,3,26,0,1,1,1.666666667,3,21,0.181453428,0.160493827,Small
total_comments,0,0,1.5,2.880952381,6,31,0,1,2.5,4.404761905,8,33,0.169457415,0.16691358,Small
reviewer_workload_hours,0.01972222,0.263912037,2.318333333,4.087754422,11.46982019,62.39333333,0.015,1.662569444,5.566666667,22.20300844,65.14427083,754.7973148,0.01819819,0.347222222,Medium